ID,Song Name,Artists,Album Name,Popularity
1a9YW7fATU351ok4zWjU7a,Brick by Boring Brick,['Paramore'],Brand New Eyes,67
2y8VWxzuw49UaIc4F5QIQk,Buried a Lie,['Senses Fail'],Let It Enfold You,56
5sTVykpRs4eiZKn96bZogj,The Feel Good Drag,['Anberlin'],Never Take Friendship Personal,61
203zTFd1zbfG0fiOG9OREv,Tell Me I'm A Wreck,['Every Avenue'],Picture Perfect,64
0uqTwEKTbkuhrn8yGSO6b5,Medicine,['Tiny Moving Parts'],breathe,51
4LF1dMlOHe8VfmMut7YiIs,Transatlanticism,['Death Cab for Cutie'],Transatlanticism (10th Anniversary Edition),59
746bHsY27aWTMYpoxqECOm,Buried Myself Alive,['The Used'],The Used,59
6doBxUbuslAgelILAjXO95,Honestly,['Cartel'],Chroma,52
15n4p6R6Tuht5KAgK3g3IX,Emily,['From First To Last'],"Dear Diary, My Teen Angst Has A Body Count",54
48H6uWuBYeeZUiXwb5f69K,Holding On,['Scary Kids Scaring Kids'],Scary Kids Scaring Kids,52
1bujdcYDzWPyJHUiL6PXul,Act Appalled,['Circa Survive'],Juturna,51
4SJIVblEnmdhUHnCjanfsE,The Permanent Rain,['The Dangerous Summer'],Reach For The Sun,57
1flWFiusGKhIaewrTnCYGO,Pachuca Sunrise,['Minus the Bear'],Menos El Oso,51
6gxupt6imt0qIdbE8e356n,Jersey,['Mayday Parade'],A Lesson In Romantics,57
1izvrCbd0C75ScVDI6uVOl,Start Today,['Gorilla Biscuits'],Start Today,47
4cMbAP64BETo4dBW8GUwYD,Gotta Go,['Agnostic Front'],Something's Gotta Give,52
58U3KUbCdpTEoZtGNnQBOa,Wake The Dead,['Comeback Kid'],Wake The Dead,52
3eI2C0gohXlg4AsavdYSiz,Punishment,['Biohazard'],Urban Discipline,50
5KX5fs2yfRPZ2E2SYYA4lD,The Disconnect,['Counterparts'],The Current Will Carry Us,44
2o3v9646q5cqBv5mdYXAYR,Hard Times,['Cro-Mags'],Before The Quarrel,46
49d4jmxM4yyLkJA7NOiQ7M,Firestorm,['Earth Crisis'],Forever True (1991-2001),42
0Bv2ixOjn8jKiVTQXE9mF8,Fazer,['Quicksand'],Slip,45
165wS8DOyhHPiNgB8vlfsE,Set It Off,['Madball'],Set It Off,43
7CdGO6KJg20UAAXl7CW8q6,New Direction,['Gorilla Biscuits'],Start Today,45
4lIyRjVqJlN8naBv6Cd5Dw,Caboose,['Snapcase'],Progression Through Unlearning,44
0j9sdD1cyPToHd3bkhuMG4,River Runs Red,['Life Of Agony'],River Runs Red [Top Shelf Edition],33
0XNm4jXda363NhHBoOp5II,Hail Destroyer,['Cancer Bats'],Hail Destroyer,40
0S3YlKnOR7F6T8t20gLhf0,Step Down,['Sick Of It All'],Scratch the Surface,45
54P30qdoSqp3MgngBMZOW3,World Peace,['Cro-Mags'],Before The Quarrel,36
00pQYMt0mNh6fAWhgvAdMA,Some Came Running,['Bane'],Give Blood,38
7FpFV1oQhhZm6Vyj7K5FcS,Pure Trauma,['Downset'],Check Your People,41
4Y4fGklrIKERF6TixxvLQi,For My Family,['Agnostic Front'],Warriors (Tour Edition),45
3w8lbCMKWBMu40MoNyV0Il,Living to Die,['Vision Of Disorder'],From Bliss To Devestation,41
4G3XY6LeHc54ZEmHw5qNWE,Get It Away,['SS Decontrol'],Get It Away,29
18TI6Ag39ySlbjvaugo1Xq,Blindfold,['Indecision'],Unorthodox,30
4cOG1ei21V0EsLRM0lFeL0,Proud To Be DFL,['DFL'],Proud To Be,30
3FUkmuhMgkxwvYuV8lvGwU,Gomorrah's Season Ends,['Earth Crisis'],Gomorrah's Season Ends,34
6yzoLxsBLiEqyB7zpAcJnX,Scratch the Surface,['Sick Of It All'],Nonstop,43
58GYzvbTEO6p012RiuYaEp,Glue,['SS Decontrol'],Get It Away,34
4OJZM33D5Z4XO6KhGp3Wva,Strength Thru Unity,['25 Ta Life'],"Haterz Be Damned: New, Old & Rare",30
32dTnE7cWjEHCUAjSEvpiM,Break Down the Walls,['Youth Of Today'],Break Down The Walls,37
5h55QONg24me5Vw4JMYlaJ,Burning Season,['All Out War'],For Those Who Were Crucified,36
4GdInZSiS6HeCjYf4LMXgn,Blistered,['Strife'],In This Defiance,38
2YL1QdU29cFAHrijICeiWA,New York City,['Madball'],Set It Off,40
4ONnFr8aItCbbRCnTNeSJh,Just Can't Hate Enough,['Sheer Terror'],Bulldog Edition,36
1oBPEkzGxFXHQvF5RfFws2,Can't Take It Away,['Kill Your Idols'],This Is Just the Beginning,34
1xeq7bGqYQr89IH2dUwnJf,In The Blood,['One King Down'],God Loves Man Kills,26
0NEDkO8NleQbN66lO2pl65,Element,['Vision Of Disorder'],Vision of Disorder,37
2pyFrdfsP9c5ElbXv3m4OQ,Take a Stand,['Youth Of Today'],Break Down The Walls,34
3svN7piEFZc4fn5paLZOOJ,Over the Years,['25 Ta Life'],Friendship Loyalty Commitment,34
4eKXxBigaMftkFQQphl1eO,Always - A Friend For Life,['Warzone'],Lower East Side,30
4WN54cERPExpnOs1adL5nB,Break Through It All,['Death Before Dishonor'],Count Me In,34
1lqzyOQ3QRX0lNXHk5kzGp,Family Tree,['H2O'],H2O,34
4XMYrzvwERu7QdF4lMSOv7,Here to Stay,['Sheer Terror'],Bulldog Edition,33
7xvRU4KA2pPZdx9jd7cNiR,Few And Far Between,['Shutdown'],Few And Far Between,31
6sM1ZoWuoVQapMt1CNMafS,Welcome To The Party,['Death By Stereo'],Death Is My Only Friend,27
6BtPf07BVx4QNWvopvOyW6,Gravity Wins Again,['One King Down'],Gravity Wins Again - EP,28
2rVBgcN49HJaYttxOzTogJ,I Know Why,['H2O'],H2O,39
4JZOq1TwUgkLykO53U07HH,Less Than Zero,['Most Precious Blood'],Nothing In Vain,26
0ai9xvb85BylFJ9JP2ogxe,Blood,['Candiria'],What Doesn't Kill You Will Make You Stronger,36
6hLqoz9CEzw6zKKE4gWYSQ,Ransom Note,['Endicott'],Words in Ink Don't Lie,24
7fwhBDicnsL5ah38jYrmk2,United Kids,['CIV'],Set Your Goals,30
55QjemxhcFnHRvTjGHLJCO,Thorn In My Side,['Quicksand'],Manic Compression,40
2BNshqUpO2WSXRpp3lP37y,Voice of Rebellion,['Pro-Pain'],Voice of Rebellion,41
556awMv4WQP0h1VXMU8rSU,Eyes Wide Shut,"['ILLENIUM', 'Avril Lavigne', 'Travis Barker']",ILLENIUM,68
5viZ8CLipufc1Q1NXpMRNN,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),"['Bring Me The Horizon', 'Lil Uzi Vert', 'Daryl Palumbo', 'Glassjaw']",AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),73
1PYG9Akj0LAZZUDXzV9m1S,Stuck,['Thirty Seconds To Mars'],Stuck,70
1BfR5GMOgW0peHkPxrwf11,Safari Song,['Greta Van Fleet'],From The Fires,69
6kp4MJpgNmvCvVP9Xf49ks,save urself (runaway),['Layto'],alternative psycho,53
7gQ7DfSSc3b8e4cHtFnDxu,Blood,['Breaking Benjamin'],Ember,66
3f7OyfSoDbQC0LRDQiytPp,Mountain at My Gates,['Foals'],What Went Down,69
3IyCL4Em1GOpNGDf451Hg1,Could Have Been Me,['The Struts'],Everybody Wants,74
1H4Y9uW4N0LsxJUz0VnaPJ,Just Pretend,['Bad Omens'],THE DEATH OF PEACE OF MIND,81
44TuSOP6xIAEeJmZsN3nXO,Bored To Death,['blink-182'],California,65
5fpq1wF8xa5tSSlcKHdmGQ,sTraNgeRs,['Bring Me The Horizon'],sTraNgeRs,74
1g7j5AxiNKTGjryhFIlAsA,Story Of My Life (feat. Trippie Redd),"['ILLENIUM', 'Sueco', 'Trippie Redd']",Story Of My Life (feat. Trippie Redd),63
25wdC7CJmCJPgnKw9rYquJ,maybe (feat. Bring Me The Horizon),"['Machine Gun Kelly', 'Bring Me The Horizon']",mainstream sellout,74
3HUB8GPbaGpIpjRoONLJP4,Hills Have Eyes,['POORSTACY'],Hills Have Eyes,58
7mBdTfokGhhZzvPWZHaKS6,Pass The Nirvana,['Pierce The Veil'],The Jaws Of Life (Extended Version),45
21rYCEejlfM0LYRlfzxGeM,Call Me What You Like,['Lovejoy'],Call Me What You Like,71
1gyee1JuFFiP476LQpRMYU,The Red,['Chevelle'],Wonder What's Next (Expanded Edition),73
75jOZla67WCSH24GjJrq5r,Sunshine!,['Beartooth'],The Surface,58
3aniWcwiiYKHpm3F5TdeKD,Teardrops,['Bring Me The Horizon'],Teardrops,62
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,['KALEO'],A/B,86
56sk7jBpZV0CD31G9hEU3b,Animal I Have Become,['Three Days Grace'],One-X,76
5tX5qGeEImk2CZYyGHrq9I,Dial Tone,['Catch Your Breath'],Dial Tone,68
0YZEYxd1oiqZRFhnnmTKKi,Another Life,['Motionless In White'],Disguise,75
5OxclJsdFESni44YlpNpkR,Parasite Eve,['Bring Me The Horizon'],Parasite Eve,63
2ipYQ6pcabz1NovVrr9LKH,Fighting Myself,['Linkin Park'],Meteora 20th Anniversary Edition,73
2l57cfmCnOkwNX1tky02n1,Move Along,['The All-American Rejects'],Move Along,71
4GssB27iJeqmfGxS94Tfij,Popular Monster,['Falling In Reverse'],Popular Monster,78
1VLM75hY5fluRorkbIt6NT,Might Love Myself,['Beartooth'],The Surface,61
6imjJij6aCM0IbbODUzJQn,Kickstart My Heart,['Mötley Crüe'],Dr. Feelgood (Deluxe Version),81
2eZjO58Qe9og2xmyfw4qwJ,Ludens,"['Bring Me The Horizon', 'Death Stranding: Timefall']",Ludens,55
3c9kVsKF68xMzlS0NikVn3,Masterpiece,['Motionless In White'],Scoring The End Of The World,70
5qI0O2liRuEC6Mnv8BKl0S,Dark Void,['Asking Alexandria'],Dark Void,59
