track_id,duration_ms,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode
3rUGC1vUpkDG9CZFHMur1t,1,0.75,0.256,0.733,111.018,0.0,-3.18,0.114,131872,6,0.844,0.0319,0
7aqfrAY2p9BUSiupwk3svU,4,0.47,0.0277,0.64,163.92,0.0,-7.779,0.382,247444,2,0.248,0.32,1
7dJYggqjKo71KI9sLzqCs8,4,0.75,0.228,0.674,123.026,8.91e-05,-6.128,0.122,265360,8,0.392,0.097,0
4MjDJD8cW7iVeWInc2Bdyj,4,0.787,0.15,0.621,139.056,0.000402,-5.009,0.58,267194,4,0.13,0.068,0
5aIVCx5tnk0ntmdiinnYvw,4,0.673,0.0856,0.722,117.187,0.0,-3.495,0.137,200256,3,0.519,0.0755,0
5mjYQaktjmjcMKcUIcqz4s,4,0.628,0.701,0.523,169.982,0.00274,-8.307,0.219,172965,11,0.416,0.0946,0
1BxfuPKGuaTgP7aM0Bbdwr,4,0.552,0.117,0.702,169.994,2.06e-05,-5.707,0.105,178427,9,0.564,0.157,1
6ehWdR7cGDXnT7aKEASJxE,4,0.853,0.0322,0.824,108.044,0.0,-3.287,0.0859,201812,1,0.888,0.103,1
2IGMVunIBsBLtEQyoI1Mu7,4,0.868,0.269,0.538,99.968,3.34e-06,-8.603,0.0901,231750,5,0.732,0.174,1
6WzRpISELf3YglGAh7TXcG,4,0.855,0.0569,0.678,99.029,3.69e-05,-6.276,0.412,215467,1,0.852,0.189,1
4iZ4pt7kvcaH6Yo8UoZ4s2,4,0.559,0.141,0.551,143.008,0.0,-7.231,0.11,201800,5,0.392,0.132,1
4KULAymBBJcPRpk1yO4dOG,4,0.429,0.554,0.453,77.639,2e-06,-7.746,0.102,227196,0,0.155,0.0459,1
3vkCueOmm7xQDoJ17W1Pm3,4,0.504,0.868,0.308,113.95,0.135,-14.958,0.158,137773,9,0.121,0.0321,1
3IX0yuEVvDbnqUwMBB3ouC,4,0.627,0.00193,0.879,129.979,6.87e-06,-3.446,0.0647,184784,9,0.748,0.0955,1
1vYXt7VSjH9JIM5oRRo7vA,4,0.671,0.0207,0.845,110.056,0.0,-4.93,0.329,176579,11,0.775,0.048,0
6wf7Yu7cxBSPrRlWeSeK0Q,4,0.444,0.959,0.0911,78.403,1.05e-06,-17.665,0.098,222370,0,0.142,0.0307,1
2HafqoJbgXdtjwCOvNEF14,4,0.537,0.827,0.421,98.224,0.0,-8.72,0.138,184061,5,0.524,0.0285,1
7x9aauaA9cu6tyfpHnqDLo,4,0.802,0.311,0.832,124.997,0.0,-4.107,0.0815,185427,11,0.89,0.0434,1
0WtM2NBVQNNJLh6scP13H8,4,0.801,0.382,0.806,106.999,0.000669,-5.206,0.114,239318,11,0.802,0.0381,1
4rXLjWdF2ZZpXCVTfWcshS,4,0.847,0.119,0.622,130.001,0.0,-6.747,0.285,125040,1,0.22,0.0903,0
6wsqVwoiVH2kde4k4KKAFU,4,0.927,0.0186,0.619,117.995,0.0,-4.441,0.104,211582,5,0.817,0.0539,0
5sdQOyqq2IDhvmx2lHOpwd,4,0.776,0.18,0.817,149.921,3.44e-05,-6.018,0.146,154667,5,0.515,0.0748,0
741UUVE2kuITl0c6zuqqbO,4,0.77,0.519,0.58,144.072,0.000127,-8.393,0.233,109750,0,0.753,0.247,1
5w40ZYhbBMAlHYNDaVJIUu,4,0.498,0.00136,0.897,169.902,0.0,-4.907,0.118,184013,2,0.373,0.045,1
0Nfh4u0J4bajcyp5pzaWCx,4,0.451,0.6,0.632,147.06,0.0,-3.843,0.139,190461,4,0.455,0.0475,1
5Eh1nj7IjV9lwpcKAkidyY,4,0.629,0.0878,0.654,93.034,0.00655,-7.852,0.22,181482,11,0.799,0.0584,0
1Qrg8KqiBpW07V7PNxwwwL,4,0.644,0.0521,0.735,88.98,0.144,-5.747,0.161,153947,8,0.418,0.0391,1
1odExI7RdWc4BT515LTAwj,4,0.508,0.83,0.43,130.09,0.000441,-9.475,0.093,212954,2,0.324,0.0335,0
7ABLbnD53cQK00mhcaOUVG,4,0.708,0.0739,0.737,91.986,0.00162,-4.045,0.0955,197920,1,0.607,0.0436,1
59NraMJsLaMCVtwXTSia8i,4,0.638,0.001,0.717,141.904,1.79e-06,-5.804,0.113,132359,8,0.422,0.0375,1
