ID,Song Name,Artists,Album Name,Popularity
3rUGC1vUpkDG9CZFHMur1t,greedy,['Tate McRae'],greedy,98
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),"['Drake', 'J. Cole']",For All The Dogs,91
7dJYggqjKo71KI9sLzqCs8,Agora Hills,['Doja Cat'],Scarlet,89
4MjDJD8cW7iVeWInc2Bdyj,MONACO,['Bad Bunny'],nadie sabe lo que va a pasar mañana,94
5aIVCx5tnk0ntmdiinnYvw,Water,['Tyla'],Water,92
5mjYQaktjmjcMKcUIcqz4s,Strangers,['Kenya Grace'],Strangers,98
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,['Taylor Swift'],Lover,99
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),"['Jung Kook', 'Jack Harlow']",3D (feat. Jack Harlow),96
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,['Doja Cat'],Paint The Town Red,100
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),93
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,['SZA'],SOS,92
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"['Zach Bryan', 'Kacey Musgraves']",Zach Bryan,94
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,['Mitski'],The Land Is Inhospitable and So Are We,94
3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,['Olivia Rodrigo'],GUTS,94
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,['Dua Lipa'],Dance The Night (From Barbie The Album),95
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",['Billie Eilish'],"What Was I Made For? [From The Motion Picture ""Barbie""]",96
2HafqoJbgXdtjwCOvNEF14,Si No Estás,['iñigo quintero'],Si No Estás,96
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"['Jung Kook', 'Latto']",Seven (feat. Latto),98
