track_id,Song,Artists,Album,length,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,favorite
3rUGC1vUpkDG9CZFHMur1t,greedy,['Tate McRae'],greedy,131872,1,0.75,0.256,0.733,111.018,0.0,-3.18,0.114,6.0,0.844,0.0319,0,98.0,0
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),"['Drake', 'J. Cole']",For All The Dogs,247444,4,0.47,0.0277,0.64,163.92,0.0,-7.779,0.382,2.0,0.248,0.32,1,91.0,0
7dJYggqjKo71KI9sLzqCs8,Agora Hills,['Doja Cat'],Scarlet,265360,4,0.75,0.228,0.674,123.026,8.91e-05,-6.128,0.122,8.0,0.392,0.097,0,89.0,0
4MjDJD8cW7iVeWInc2Bdyj,MONACO,['Bad Bunny'],nadie sabe lo que va a pasar mañana,267194,4,0.787,0.15,0.621,139.056,0.000402,-5.009,0.58,4.0,0.13,0.068,0,94.0,0
5aIVCx5tnk0ntmdiinnYvw,Water,['Tyla'],Water,200256,4,0.673,0.0856,0.722,117.187,0.0,-3.495,0.137,3.0,0.519,0.0755,0,92.0,0
5mjYQaktjmjcMKcUIcqz4s,Strangers,['Kenya Grace'],Strangers,172965,4,0.628,0.701,0.523,169.982,0.00274,-8.307,0.219,11.0,0.416,0.0946,0,98.0,0
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,['Taylor Swift'],Lover,178427,4,0.552,0.117,0.702,169.994,2.06e-05,-5.707,0.105,9.0,0.564,0.157,1,99.0,0
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,['Doja Cat'],Paint The Town Red,231750,4,0.868,0.269,0.538,99.968,3.34e-06,-8.603,0.0901,5.0,0.732,0.174,1,100.0,0
0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,"['The Kid LAROI', 'Jung Kook', 'Central Cee']",TOO MUCH,203939,4,0.758,0.252,0.703,94.985,0.0,-5.979,0.146,10.0,0.465,0.172,0,55.0,0
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),215467,4,0.855,0.0569,0.678,99.029,3.69e-05,-6.276,0.412,1.0,0.852,0.189,1,93.0,0
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,['SZA'],SOS,201800,4,0.559,0.141,0.551,143.008,0.0,-7.231,0.11,5.0,0.392,0.132,1,92.0,0
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"['Zach Bryan', 'Kacey Musgraves']",Zach Bryan,227196,4,0.429,0.554,0.453,77.639,2e-06,-7.746,0.102,0.0,0.155,0.0459,1,94.0,0
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,['Mitski'],The Land Is Inhospitable and So Are We,137773,4,0.504,0.868,0.308,113.95,0.135,-14.958,0.158,9.0,0.121,0.0321,1,94.0,0
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),"['Jung Kook', 'Jack Harlow']",3D (feat. Jack Harlow),201812,4,0.853,0.0322,0.824,108.044,0.0,-3.287,0.0859,1.0,0.888,0.103,1,96.0,0
3IX0yuEVvDbnqUwMBB3ouC,bad idea right?,['Olivia Rodrigo'],GUTS,184784,4,0.627,0.00193,0.879,129.979,6.87e-06,-3.446,0.0647,9.0,0.748,0.0955,1,94.0,0
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,['Dua Lipa'],Dance The Night (From Barbie The Album),176579,4,0.671,0.0207,0.845,110.056,0.0,-4.93,0.329,11.0,0.775,0.048,0,95.0,0
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",['Billie Eilish'],"What Was I Made For? [From The Motion Picture ""Barbie""]",222370,4,0.444,0.959,0.0911,78.403,1.05e-06,-17.665,0.098,0.0,0.142,0.0307,1,96.0,0
2HafqoJbgXdtjwCOvNEF14,Si No Estás,['iñigo quintero'],Si No Estás,184061,4,0.537,0.827,0.421,98.224,0.0,-8.72,0.138,5.0,0.524,0.0285,1,96.0,0
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),239318,4,0.801,0.382,0.806,106.999,0.000669,-5.206,0.114,11.0,0.802,0.0381,1,91.0,0
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"['Jung Kook', 'Latto']",Seven (feat. Latto),185427,4,0.802,0.311,0.832,124.997,0.0,-4.107,0.0815,11.0,0.89,0.0434,1,98.0,0
4rXLjWdF2ZZpXCVTfWcshS,fukumean,['Gunna'],a Gift & a Curse,125040,4,0.847,0.119,0.622,130.001,0.0,-6.747,0.285,1.0,0.22,0.0903,0,96.0,0
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,['Travis Scott'],UTOPIA,211582,4,0.927,0.0186,0.619,117.995,0.0,-4.441,0.104,5.0,0.817,0.0539,0,93.0,0
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,['NewJeans'],NewJeans 'Super Shy',154667,4,0.776,0.18,0.817,149.921,3.44e-05,-6.018,0.146,5.0,0.515,0.0748,0,93.0,0
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],"['Nicki Minaj', 'Ice Spice', 'Aqua']",Barbie World (with Aqua) [From Barbie The Album],109750,4,0.77,0.519,0.58,144.072,0.000127,-8.393,0.233,0.0,0.753,0.247,1,91.0,0
5w40ZYhbBMAlHYNDaVJIUu,Chemical,['Post Malone'],Chemical,184013,4,0.498,0.00136,0.897,169.902,0.0,-4.907,0.118,2.0,0.373,0.045,1,88.0,0
