track_id,Song,Artists,Album,length,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,favorite
6Yj7Zhxt73uvwFFvzQXdxO,Flight's Booked,Drake,"Honestly, Nevermind",254407,68,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,4,0,3,0.201,1
4IcbUXrAzBtn6iUO1LP471,Away From Home,Drake,For All The Dogs,258592,81,0.848,0.0195,0.625,0,0.109,-7.64,0.0587,93.019,4,1,1,0.226,1
17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty),Drake,For All The Dogs,170414,83,0.684,0.0347,0.541,0,0.138,-8.04,0.0483,158.046,4,0,5,0.214,1
2HALQBSAvpw1oCzL5QsrT2,Trojan Horse,Dave,Split Decision,248866,76,0.891,0.475,0.711,0,0.227,-4.429,0.332,138.31,4,1,7,0.743,1
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave,Sprinter,229133,94,0.916,0.186,0.583,0,0.0798,-8.067,0.241,141.095,4,1,1,0.661,1
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Wizkid,Made In Lagos,248040,76,0.849,0.0266,0.707,8.58E-06,0.618,-6.002,0.113,104.027,4,1,0,0.602,1
03rwnftfgpYVO6QDWOZcG6,Drew A Picasso,Drake,For All The Dogs,262768,82,0.707,0.375,0.334,0,0.17,-12.792,0.244,127.944,4,1,7,0.143,1
406ibEUZKNRotQ3eem7Bog,Palestine the Beautiful,El-Funoun Palestinian Popular Dance Troupe,Zajel,158760,39,0.648,0.389,0.694,0,0.116,-10.577,0.0695,180.099,4,1,2,0.928,1
4CIyxiObT9G35HrSItAblR,HVN ON EARTH (with Kodak Black),Lil Tecca,TEC,188870,76,0.734,0.078,0.649,0.000664,0.137,-5.12,0.108,132.038,3,1,8,0.239,1
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,Drake,For All The Dogs,251094,88,0.402,0.106,0.514,0,0.181,-7.322,0.0471,120.009,4,0,1,0.2,1
2VjOTvl50tscmc0RDjPdr2,UK Rap,Dave,Split Decision,198026,80,0.92,0.339,0.682,2.08E-06,0.112,-4.82,0.368,140.071,4,1,1,0.697,1
2MyQK6cKu9IAzNXiBm7TD0,"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)",Lil Tecca,We Love You Tecca 2,241655,56,0.585,0.0644,0.765,0,0.148,-5.575,0.0589,145.155,4,0,10,0.18,1
6dkffLWo31KnXmwCLsgA2K,Gist,Lil Tecca,TEC,130226,74,0.72,0.0407,0.614,0,0.103,-5.482,0.188,75.44,4,1,4,0.533,1
302EsF6DE70LfngVNLlqo5,Fell In Love (with Ken Carson),Lil Tecca,TEC,173195,75,0.63,0.00417,0.695,0,0.117,-5.74,0.0592,139.959,4,0,4,0.115,1
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,For All The Dogs,260111,93,0.663,0.0464,0.67,8.92E-05,0.205,-8.399,0.271,136.952,4,1,8,0.138,1
1m0UFnuTktOkksvjbF9z0m,Ramenez la coupe à la maison,Vegedream,Marchand de sable,235555,72,0.808,0.0358,0.661,0,0.138,-6.237,0.0395,107.992,4,0,0,0.804,1
1PIgY9ybyFT9uWLM5POYGY,All The Parties (feat. Chief Keef),Drake,For All The Dogs,218611,82,0.65,0.552,0.405,0,0.107,-10.156,0.199,124.747,4,0,7,0.195,1
2nibvvDdAQkVraYP00z2RS,Calling For You (feat. 21 Savage),Drake,For All The Dogs,285630,85,0.571,0.0548,0.55,0,0.179,-6.567,0.106,120.947,4,1,0,0.104,1
3oZZfVvLJuDYc4Vn3A63Fw,Polar Opposites,Drake,For All The Dogs,257180,80,0.44,0.0924,0.274,3.37E-06,0.128,-14.464,0.0809,76.513,4,0,5,0.343,1
6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,SremmLife 2 (Deluxe),291893,77,0.794,0.142,0.632,0,0.128,-6.163,0.0649,145.926,4,1,0,0.355,1
0Mrnt1YqVuW2bqmwu4VxDt,Amen (feat. Teezo Touchdown),Drake,For All The Dogs,141212,83,0.646,0.0636,0.605,0,0.253,-7.59,0.188,90.156,3,1,0,0.309,1
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),Drake,Slime You Out,310490,89,0.483,0.508,0.408,0,0.259,-9.243,0.0502,88.88,3,0,5,0.105,1
7DRM6aQqMhVMweZ8H7UBei,Yves,Lil Tecca,TEC,137547,73,0.674,0.0246,0.736,0,0.111,-6.798,0.291,140.142,4,0,5,0.179,1
3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises,Drake,For All The Dogs,184089,83,0.626,0.85,0.309,1.31E-05,0.117,-10.397,0.0433,117.94,4,1,1,0.369,1
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),Drake,For All The Dogs,133694,87,0.868,0.0479,0.407,0.000111,0.139,-7.735,0.295,107.524,4,1,10,0.255,1
4XuhhLn59vKP4pCAnBg6Vz,Monday to Sunday,Lil Tecca,TEC,170398,68,0.696,0.0104,0.726,0,0.24,-4.504,0.0526,134.992,4,1,1,0.187,1
03KyKbbgu7nEYVMZdcd1NA,One Dollar,WorldV,One Dollar,202213,46,0.621,0.273,0.53,7.54E-06,0.207,-10.609,0.259,105.622,4,0,10,0.519,1
6rjuKpPydT2SxN15TZpV7r,500lbs,Lil Tecca,TEC,144390,81,0.722,0.0942,0.785,0,0.119,-5.451,0.0763,122.986,4,0,7,0.529,1
3YcOIEVaosMwND6mYRgzVe,Salty,Lil Tecca,TEC,135149,71,0.403,0.151,0.606,0,0.316,-8.078,0.0858,145.842,4,0,1,0.161,1
4ZT0wGKwlJRjpMUuwZVy3p,Daylight,Drake,For All The Dogs,164142,85,0.566,0.0149,0.564,0,0.104,-7.88,0.277,139.92,4,0,10,0.0667,1
53KaP77tkliz36LPxWGlWK,Fear Of Heights,Drake,For All The Dogs,155154,85,0.581,0.0128,0.325,0,0.16,-9.238,0.22,136.934,4,1,10,0.0666,1
0AAVJIN4plafvmNKqRCltG,I'M DAT N****,Future,I NEVER LIKED YOU,271840,66,0.911,0.0112,0.573,5.83E-05,0.131,-5.573,0.163,144.026,4,1,2,0.145,1
3kb5f77qPehMQkvQH5CQUg,Todo Homem - Antdot & Maz (BR) Remix,Zeca Veloso,Todo Homem [Antdot & Maz (BR) Remix],284516,54,0.689,0.0316,0.713,0.739,0.0991,-7.635,0.0333,124.011,4,1,6,0.0373,1
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Drake,Certified Lover Boy,192417,74,0.843,0.181,0.485,0.0675,0.107,-8.735,0.195,100.053,4,0,10,0.689,1
1N07KMMtQW7YUzAtmroYOq,U Don't Know Tec,Lil Tecca,TEC,110310,70,0.646,0.206,0.567,0,0.0967,-5.293,0.167,160.926,4,1,4,0.25,1
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,For All The Dogs,247444,91,0.47,0.0277,0.64,0,0.382,-7.779,0.32,163.92,4,1,2,0.248,1
41TZ7YP0hzQLnZ3pL0x7uz,Banho de Folhas - Maz Remix,Luedji Luna,Banho de Folhas (Maz Remix),215476,62,0.754,0.0275,0.914,0.764,0.0994,-8.151,0.0413,126.001,4,0,6,0.346,1
0EKAROsLKmddZmMrf4Sf37,Used2This,Lil Tecca,TEC,145655,69,0.691,0.0276,0.703,0,0.215,-6.052,0.039,145.054,5,0,1,0.21,1
0xl1w2q4VLojeXp4JfazPL,Sacrifices,Drake,More Life,307593,62,0.903,0.0407,0.439,0,0.138,-11.813,0.397,139.112,4,1,8,0.532,1
1vbn9fEyw1IYhqgZJdu9ZB,Falling Back,Drake,"Honestly, Nevermind",266178,64,0.718,0.238,0.758,0.00653,0.11,-8.29,0.0703,118.989,4,1,10,0.349,1
6mPZVis3gEGSSR2rhxlehT,Merci Beaucoup,Pop Smoke,Faith,175774,68,0.581,0.476,0.476,5.66E-06,0.495,-6.493,0.189,141.823,4,1,0,0.103,1
1L0OmJV0LnPDWuHCIGmBV6,On The Radar Freestyle,Drake,On The Radar Freestyle,275280,82,0.615,0.108,0.632,0,0.129,-8.539,0.292,150.126,4,1,1,0.194,1
2rjv9fXzpZDbB6lEeIoB3l,rodeo dr,Gunna,a Gift & a Curse,176946,73,0.8,0.0668,0.754,0,0.278,-5.259,0.216,134.136,4,0,1,0.334,1
4rmVZajAF7PkrCagGPHbqa,Sticky,Drake,"Honestly, Nevermind",243227,78,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,137.027,4,1,6,0.0774,1
0nAZGkBGKQCXyaoSJfRhC1,A Keeper,Drake,"Honestly, Nevermind",173097,69,0.6,0.512,0.482,0.000104,0.115,-11.596,0.0701,121.909,4,1,1,0.323,1
14QI6pBFZ9UtMqze2QdJhm,TEC,Lil Tecca,TEC,131858,72,0.649,0.0169,0.595,0,0.232,-5.837,0.111,138.125,4,0,1,0.196,1
7IqsNN0EMckx9YqddgXlwg,bread & butter,Gunna,a Gift & a Curse,226000,68,0.781,0.111,0.649,0,0.111,-4.294,0.247,85.063,4,0,9,0.134,1
3aQem4jVGdhtg116TmJnHz,What’s Next,Drake,Scary Hours 2,178153,75,0.781,0.0136,0.594,0,0.162,-6.959,0.0485,129.895,4,0,0,0.0628,1
