track_id,album,artists,length,danceability,tempo,energy,acousticness,time_signature,favorite
3rUGC1vUpkDG9CZFHMur1t,9646,7016,131872,0.75,111.018,0.733,0.256,1,0
7aqfrAY2p9BUSiupwk3svU,2891,2075,247444,0.47,163.92,0.64,0.0277,4,0
7dJYggqjKo71KI9sLzqCs8,7025,2007,265360,0.75,123.026,0.674,0.228,4,0
4MjDJD8cW7iVeWInc2Bdyj,9691,742,267194,0.787,139.056,0.621,0.15,4,0
5aIVCx5tnk0ntmdiinnYvw,9135,7579,200256,0.673,117.187,0.722,0.0856,4,0
5mjYQaktjmjcMKcUIcqz4s,7635,4170,172965,0.628,169.982,0.523,0.701,4,0
1BxfuPKGuaTgP7aM0Bbdwr,4970,7027,178427,0.552,169.994,0.702,0.117,4,0
2IGMVunIBsBLtEQyoI1Mu7,6062,2007,231750,0.868,99.968,0.538,0.269,4,0
0rKWJnmo6Q0ovoPOLoLm0t,7837,7204,203939,0.758,94.985,0.703,0.252,4,0
6WzRpISELf3YglGAh7TXcG,6290,7332,215467,0.855,99.029,0.678,0.0569,4,0
4iZ4pt7kvcaH6Yo8UoZ4s2,6917,6395,201800,0.559,143.008,0.551,0.141,4,0
4KULAymBBJcPRpk1yO4dOG,9565,7963,227196,0.429,77.639,0.453,0.554,4,0
3vkCueOmm7xQDoJ17W1Pm3,8266,5170,137773,0.504,113.95,0.308,0.868,4,0
6ehWdR7cGDXnT7aKEASJxE,123,3995,201812,0.853,108.044,0.824,0.0322,4,0
3IX0yuEVvDbnqUwMBB3ouC,3067,5551,184784,0.627,129.979,0.879,0.00193,4,0
1vYXt7VSjH9JIM5oRRo7vA,1976,2110,176579,0.671,110.056,0.845,0.0207,4,0
6wf7Yu7cxBSPrRlWeSeK0Q,9228,880,222370,0.444,78.403,0.0911,0.959,4,0
2HafqoJbgXdtjwCOvNEF14,7255,8057,184061,0.537,98.224,0.421,0.827,4,0
0WtM2NBVQNNJLh6scP13H8,1478,6015,239318,0.801,106.999,0.806,0.382,4,0
7x9aauaA9cu6tyfpHnqDLo,7182,3996,185427,0.802,124.997,0.832,0.311,4,0
4rXLjWdF2ZZpXCVTfWcshS,9573,3124,125040,0.847,130.001,0.622,0.119,4,0
6wsqVwoiVH2kde4k4KKAFU,8804,7520,211582,0.927,117.995,0.619,0.0186,4,0
5sdQOyqq2IDhvmx2lHOpwd,5642,5376,154667,0.776,149.921,0.817,0.18,4,0
741UUVE2kuITl0c6zuqqbO,819,5390,109750,0.77,144.072,0.58,0.519,4,0
5w40ZYhbBMAlHYNDaVJIUu,1605,5819,184013,0.498,169.902,0.897,0.00136,4,0
0Nfh4u0J4bajcyp5pzaWCx,8880,5140,190461,0.451,147.06,0.632,0.6,4,0
5Eh1nj7IjV9lwpcKAkidyY,7443,7547,181482,0.629,93.034,0.654,0.0878,4,0
1Qrg8KqiBpW07V7PNxwwwL,6917,6395,153947,0.644,88.98,0.735,0.0521,4,0
1odExI7RdWc4BT515LTAwj,2041,1821,212954,0.508,130.09,0.43,0.83,4,0
7ABLbnD53cQK00mhcaOUVG,4500,5282,197920,0.708,91.986,0.737,0.0739,4,0
59NraMJsLaMCVtwXTSia8i,6308,8016,132359,0.638,141.904,0.717,0.001,4,0
6iF4RgIjDvDqyW13PezSj3,7295,6512,171655,0.61,105.01,0.571,0.00863,4,0
4Dvkj6JhhA12EX05fT7y2e,3501,3222,167303,0.52,173.93,0.731,0.342,4,0
