track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),Bad Boy (with Young Thug),Juice WRLD,2021-01-15,157355,70,0.697,0.00215,0.674,0.0,0.138,-6.326,0.0533,81.535,4
0G2OvqpvifsIHALlLqB5NG,4U,4U,Pi’erre Bourne,2021-04-02,218000,44,0.63,0.196,0.487,0.00316,0.133,-10.488,0.0531,108.753,4
3JWh19WsndEFg0UFRFeTiU,Minute,Perfect Timing,NAV,2017-07-21,265373,64,0.68,0.0919,0.549,7.14e-05,0.548,-8.277,0.244,162.874,4
7491l7CnemDkYH0jsoLvYr,Guillotine,The Life Of Pi'erre 4,Pi’erre Bourne,2019-06-21,179890,54,0.703,0.0132,0.463,0.0,0.348,-6.939,0.0528,162.924,4
6GNG0YQixWuLE0M5FtrRxY,Off The Map,After Me,SoFaygo,2020-12-17,141582,59,0.472,0.0757,0.847,0.0,0.3,-6.347,0.0419,150.164,4
0YkUwXxnTkeJBvt5upeEtP,From Florida With Love,Dark Lane Demo Tapes,Drake,2020-05-01,234782,64,0.787,0.768,0.477,0.0,0.104,-7.837,0.199,80.506,4
4aMxs74PXoQg2SLgjypcvb,Turban,Up 2 Më,Yeat,2021-09-10,155742,42,0.669,0.00165,0.682,0.0116,0.339,-7.974,0.293,148.153,4
7l2nxyx7IkBX5orhkALg0V,Privileged Rappers,Her Loss,Drake,2022-11-04,160821,77,0.934,0.00274,0.614,0.0,0.123,-7.384,0.198,144.045,4
4s7QLoImIwmPi9L6dq1nVW,TSU,Certified Lover Boy,Drake,2021-09-03,308755,76,0.568,0.228,0.56,3.05e-06,0.39,-9.059,0.42,130.019,4
6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,Certified Lover Boy,Drake,2021-09-03,178623,71,0.701,0.112,0.741,0.0,0.699,-6.157,0.313,140.177,4
2oPQVgCTYqA4FBknwAroWf,Saint Laurenttt,Good Intentions,NAV,2020-05-08,170536,47,0.843,0.317,0.529,1.48e-05,0.284,-7.476,0.0515,97.971,4
09hbZ8vF8YmlVQq55Ai1Ay,Switching Lanes (feat. Playboi Carti),The Life Of Pi'erre 5,Pi’erre Bourne,2021-06-11,190097,63,0.458,0.408,0.506,0.0,0.347,-9.596,0.2,163.028,4
5H4mXWKcicuLKDn4Jy0sK7,Time Flies,Dark Lane Demo Tapes,Drake,2020-05-01,192931,80,0.864,0.201,0.477,0.0,0.182,-5.786,0.224,86.46,4
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,Drake,2020-05-01,149077,81,0.825,0.163,0.373,0.0,0.368,-5.532,0.108,77.271,4
