track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
6Yj7Zhxt73uvwFFvzQXdxO,Flight's Booked,"Honestly, Nevermind",Drake,2022-06-17,254407,68,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,4
4IcbUXrAzBtn6iUO1LP471,Away From Home,For All The Dogs,Drake,2023-10-06,258592,81,0.848,0.0195,0.625,0.0,0.109,-7.64,0.0587,93.019,4
17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty),For All The Dogs,Drake,2023-10-06,170414,83,0.684,0.0347,0.541,0.0,0.138,-8.04,0.0483,158.046,4
2HALQBSAvpw1oCzL5QsrT2,Trojan Horse,Split Decision,Dave,2023-06-04,248866,76,0.891,0.475,0.711,0.0,0.227,-4.429,0.332,138.31,4
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Sprinter,Dave,2023-06-01,229133,94,0.916,0.186,0.583,0.0,0.0798,-8.067,0.241,141.095,4
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),Made In Lagos,Wizkid,2020-10-29,248040,76,0.849,0.0266,0.707,8.58e-06,0.618,-6.002,0.113,104.027,4
302EsF6DE70LfngVNLlqo5,Fell In Love (with Ken Carson),TEC,Lil Tecca,2023-09-22,173195,75,0.63,0.00417,0.695,0.0,0.117,-5.74,0.0592,139.959,4
6dkffLWo31KnXmwCLsgA2K,Gist,TEC,Lil Tecca,2023-09-22,130226,74,0.72,0.0407,0.614,0.0,0.103,-5.482,0.188,75.44,4
4CIyxiObT9G35HrSItAblR,HVN ON EARTH (with Kodak Black),TEC,Lil Tecca,2023-09-22,188870,76,0.734,0.078,0.649,0.000664,0.137,-5.12,0.108,132.038,3
7DRM6aQqMhVMweZ8H7UBei,Yves,TEC,Lil Tecca,2023-09-22,137547,73,0.674,0.0246,0.736,0.0,0.111,-6.798,0.291,140.142,4
03rwnftfgpYVO6QDWOZcG6,Drew A Picasso,For All The Dogs,Drake,2023-10-06,262768,82,0.707,0.375,0.334,0.0,0.17,-12.792,0.244,127.944,4
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,For All The Dogs,Drake,2023-10-06,251094,88,0.402,0.106,0.514,0.0,0.181,-7.322,0.0471,120.009,4
406ibEUZKNRotQ3eem7Bog,Palestine the Beautiful,Zajel,El-Funoun Palestinian Popular Dance Troupe,2014-01-01,158760,38,0.648,0.389,0.694,0.0,0.116,-10.577,0.0695,180.099,4
2VjOTvl50tscmc0RDjPdr2,UK Rap,Split Decision,Dave,2023-06-04,198026,80,0.92,0.339,0.682,2.08e-06,0.112,-4.82,0.368,140.071,4
2MyQK6cKu9IAzNXiBm7TD0,"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)",We Love You Tecca 2,Lil Tecca,2021-08-27,241655,56,0.585,0.0644,0.765,0.0,0.148,-5.575,0.0589,145.155,4
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),For All The Dogs,Drake,2023-10-06,260111,93,0.663,0.0464,0.67,8.92e-05,0.205,-8.399,0.271,136.952,4
4XuhhLn59vKP4pCAnBg6Vz,Monday to Sunday,TEC,Lil Tecca,2023-09-22,170398,68,0.696,0.0104,0.726,0.0,0.24,-4.504,0.0526,134.992,4
1m0UFnuTktOkksvjbF9z0m,Ramenez la coupe à la maison,Marchand de sable,Vegedream,2018-07-20,235555,72,0.808,0.0358,0.661,0.0,0.138,-6.237,0.0395,107.992,4
1PIgY9ybyFT9uWLM5POYGY,All The Parties (feat. Chief Keef),For All The Dogs,Drake,2023-10-06,218611,82,0.65,0.552,0.405,0.0,0.107,-10.156,0.199,124.747,4
6rjuKpPydT2SxN15TZpV7r,500lbs,TEC,Lil Tecca,2023-09-22,144390,81,0.722,0.0942,0.785,0.0,0.119,-5.451,0.0763,122.986,4
2nibvvDdAQkVraYP00z2RS,Calling For You (feat. 21 Savage),For All The Dogs,Drake,2023-10-06,285630,86,0.571,0.0548,0.55,0.0,0.179,-6.567,0.106,120.947,4
3oZZfVvLJuDYc4Vn3A63Fw,Polar Opposites,For All The Dogs,Drake,2023-10-06,257180,80,0.44,0.0924,0.274,3.37e-06,0.128,-14.464,0.0809,76.513,4
0Mrnt1YqVuW2bqmwu4VxDt,Amen (feat. Teezo Touchdown),For All The Dogs,Drake,2023-10-06,141212,84,0.646,0.0636,0.605,0.0,0.253,-7.59,0.188,90.156,3
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),Slime You Out,Drake,2023-09-15,310490,89,0.483,0.508,0.408,0.0,0.259,-9.243,0.0502,88.88,3
3YcOIEVaosMwND6mYRgzVe,Salty,TEC,Lil Tecca,2023-09-22,135149,71,0.403,0.151,0.606,0.0,0.316,-8.078,0.0858,145.842,4
3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises,For All The Dogs,Drake,2023-10-06,184089,83,0.626,0.85,0.309,1.31e-05,0.117,-10.397,0.0433,117.94,4
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),For All The Dogs,Drake,2023-10-06,133694,87,0.868,0.0479,0.407,0.000111,0.139,-7.735,0.295,107.524,4
0EKAROsLKmddZmMrf4Sf37,Used2This,TEC,Lil Tecca,2023-09-22,145655,70,0.691,0.0276,0.703,0.0,0.215,-6.052,0.039,145.054,5
3kb5f77qPehMQkvQH5CQUg,Todo Homem - Antdot & Maz (BR) Remix,Todo Homem [Antdot & Maz (BR) Remix],Zeca Veloso,2022-08-19,284516,53,0.689,0.0316,0.713,0.739,0.0991,-7.635,0.0333,124.011,4
1N07KMMtQW7YUzAtmroYOq,U Don't Know Tec,TEC,Lil Tecca,2023-09-22,110310,70,0.646,0.206,0.567,0.0,0.0967,-5.293,0.167,160.926,4
6fujklziTHa8uoM5OQSfIo,Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,291893,77,0.794,0.142,0.632,0.0,0.128,-6.163,0.0649,145.926,4
03KyKbbgu7nEYVMZdcd1NA,One Dollar,One Dollar,WorldV,2023-07-20,202213,46,0.621,0.273,0.53,7.54e-06,0.207,-10.609,0.259,105.622,4
41TZ7YP0hzQLnZ3pL0x7uz,Banho de Folhas - Maz Remix,Banho de Folhas (Maz Remix),Luedji Luna,2022-04-06,215476,62,0.754,0.0275,0.914,0.764,0.0994,-8.151,0.0413,126.001,4
14QI6pBFZ9UtMqze2QdJhm,TEC,TEC,Lil Tecca,2023-09-22,131858,72,0.649,0.0169,0.595,0.0,0.232,-5.837,0.111,138.125,4
4ZT0wGKwlJRjpMUuwZVy3p,Daylight,For All The Dogs,Drake,2023-10-06,164142,85,0.566,0.0149,0.564,0.0,0.104,-7.88,0.277,139.92,4
53KaP77tkliz36LPxWGlWK,Fear Of Heights,For All The Dogs,Drake,2023-10-06,155154,85,0.581,0.0128,0.325,0.0,0.16,-9.238,0.22,136.934,4
0AAVJIN4plafvmNKqRCltG,I'M DAT N****,I NEVER LIKED YOU,Future,2022-04-29,271840,66,0.911,0.0112,0.573,5.83e-05,0.131,-5.573,0.163,144.026,4
47IAA5n1Sk5j1Pm4l74RGk,Real Discussions,TEC,Lil Tecca,2023-09-22,118709,70,0.469,0.0565,0.612,0.0,0.638,-6.418,0.0959,98.533,4
4MH3blBofrBllAg4sRcqgM,Want It Bad,TEC,Lil Tecca,2023-09-22,130684,71,0.495,0.105,0.607,0.0,0.0861,-6.283,0.134,103.702,4
5itTZ7kNRBl65Nn1QO9Ax9,Dead or Alive,TEC,Lil Tecca,2023-09-22,122487,75,0.663,0.000379,0.78,0.0,0.14,-4.951,0.0536,144.972,4
0xl1w2q4VLojeXp4JfazPL,Sacrifices,More Life,Drake,2017-03-18,307593,62,0.903,0.0407,0.439,0.0,0.138,-11.813,0.397,139.112,4
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Certified Lover Boy,Drake,2021-09-03,192417,74,0.843,0.181,0.485,0.0675,0.107,-8.735,0.195,100.053,4
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),For All The Dogs,Drake,2023-10-06,247444,91,0.47,0.0277,0.64,0.0,0.382,-7.779,0.32,163.92,4
1vbn9fEyw1IYhqgZJdu9ZB,Falling Back,"Honestly, Nevermind",Drake,2022-06-17,266178,64,0.718,0.238,0.758,0.00653,0.11,-8.29,0.0703,118.989,4
6mPZVis3gEGSSR2rhxlehT,Merci Beaucoup,Faith,Pop Smoke,2021-07-16,175774,68,0.581,0.476,0.476,5.66e-06,0.495,-6.493,0.189,141.823,4
1L0OmJV0LnPDWuHCIGmBV6,On The Radar Freestyle,On The Radar Freestyle,Drake,2023-07-26,275280,82,0.615,0.108,0.632,0.0,0.129,-8.539,0.292,150.126,4
4rmVZajAF7PkrCagGPHbqa,Sticky,"Honestly, Nevermind",Drake,2022-06-17,243227,78,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,137.027,4
